time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-04T02:18:12.370Z,19.1884994506836,-155.460662841797,34.2400016784668,2.56999993,md,50,111,,0.109999999,hv,hv72074372,2020-08-04T02:21:35.140Z,"2 km SE of Pāhala, Hawaii",earthquake,0.44,0.680000007,0.159999996,37,automatic,hv,hv
2020-08-04T00:17:30.000Z,36.4395,-117.9886667,2.95,2.71,ml,23,72,0.07378,0.18,ci,ci39329127,2020-08-04T00:26:40.040Z,"18km N of Olancha, CA",earthquake,0.35,1.28,0.14,25,automatic,ci,ci
2020-08-03T23:50:01.716Z,40.4615,-115.9582,14.9,2.8,ml,8,92.86,0.55,0.1463,nn,nn00765478,2020-08-04T07:52:35.167Z,"30 km SSE of Carlin, Nevada",earthquake,,5.8,0.31,6,reviewed,nn,nn
2020-08-03T23:39:40.660Z,19.1588,-67.6783,10,2.6,ml,,254,0.872,0.47,us,us6000b8xc,2020-08-04T05:08:57.040Z,"95 km NW of San Antonio, Puerto Rico",earthquake,4,2,0.061,35,reviewed,us,us
2020-08-03T23:13:45.670Z,36.35766667,-97.3595,7.56,3.44,ml,100,35,0,0.22,ok,ok2020pepd,2020-08-04T05:03:01.040Z,"9 km NW of Perry, Oklahoma",earthquake,,0.5,0.23,37,reviewed,ok,ok
2020-08-03T22:50:36.717Z,67.3059,-147.1822,9.6,3.3,ml,,,,0.73,ak,ak0209xlhack,2020-08-04T05:21:32.390Z,"46 km NW of Venetie, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-08-03T22:30:44.899Z,44.0528,84.5674,10,4.7,mb,,64,3.175,1.15,us,us6000b8wj,2020-08-03T22:50:04.040Z,"120 km WSW of Shihezi, China",earthquake,7.7,1.9,0.065,71,reviewed,us,us
2020-08-03T22:22:28.529Z,12.4624,142.4852,122.1,4.5,mb,,90,2.578,0.64,us,us6000b8wt,2020-08-04T00:09:58.329Z,"253 km WSW of Merizo Village, Guam",earthquake,9.6,7.2,0.061,79,reviewed,us,us
2020-08-03T22:18:51.810Z,33.8656667,-117.8336667,8.8,3.5,ml,186,21,0.05225,0.27,ci,ci39328911,2020-08-05T05:08:19.864Z,"3km SW of Yorba Linda, CA",earthquake,0.14,0.38,0.166,306,reviewed,ci,ci
2020-08-03T21:16:20.311Z,-61.6597,160.1243,10,5.6,mww,,38,7.208,1.54,us,us6000b8vp,2020-08-04T21:18:17.889Z,"Balleny Islands region",earthquake,12.3,1.8,0.078,16,reviewed,us,us
2020-08-03T21:01:54.806Z,63.0238,-151.0469,125.22,3.5,ml,,19,0.515,0.36,us,us6000b8vg,2020-08-03T21:24:14.040Z,"60 km NNW of Petersville, Alaska",earthquake,2.6,6.8,0.025,209,reviewed,us,us
2020-08-03T20:59:51.272Z,61.1501,-147.034,3.3,2.6,ml,,,,0.82,ak,ak0209xkcdwa,2020-08-04T05:21:24.418Z,"36 km W of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-03T18:26:00.923Z,-20.4767,-68.9247,106.66,4.7,mww,,81,0.397,0.63,us,us6000b8tt,2020-08-04T18:06:00.856Z,"131 km ESE of Iquique, Chile",earthquake,7.4,6,0.098,10,reviewed,us,us
2020-08-03T16:16:51.956Z,61.4216,-147.1856,6.4,2.5,ml,,,,0.54,ak,ak0209xhpfro,2020-08-04T05:21:16.905Z,"49 km SSE of Glacier View, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-08-03T15:08:11.620Z,-7.291,-77.7964,40.95,5,mww,,90,4.76,0.68,us,us6000b8r2,2020-08-04T15:13:50.901Z,"45 km NE of Cajabamba, Peru",earthquake,7.8,5.6,0.098,10,reviewed,us,us
2020-08-03T14:52:48.322Z,31.116,-103.2132,5,2.5,ml,,52,0.217,0.7,us,us6000b8qv,2020-08-03T16:30:35.040Z,"19 km SW of Coyanosa, Texas",earthquake,1.2,1.9,0.053,46,reviewed,us,us
2020-08-03T12:45:52.946Z,17.0183,147.4263,10,4.9,mb,,103,2.366,0.78,us,us6000b8pv,2020-08-03T13:08:20.040Z,"268 km NE of Saipan, Northern Mariana Islands",earthquake,8.9,1.6,0.046,150,reviewed,us,us
2020-08-03T12:35:02.692Z,27.7769,56.303,42.65,4.4,mb,,67,2.821,0.69,us,us6000b8pr,2020-08-04T13:58:11.040Z,"65 km N of Bandar Abbas, Iran",earthquake,8.3,8.3,0.077,49,reviewed,us,us
2020-08-03T11:56:52.535Z,-19.5994,-69.2556,104.18,5.5,mww,,44,0.089,0.86,us,us6000b8pf,2020-08-04T11:59:07.793Z,"115 km NE of Iquique, Chile",earthquake,3.6,3.8,0.061,26,reviewed,us,us
2020-08-03T11:37:10.572Z,27.6877,52.5406,10,4.6,mb,,98,4.274,0.76,us,us6000b8pa,2020-08-03T11:57:32.040Z,"36 km WNW of Mohr, Iran",earthquake,7.8,1.9,0.055,100,reviewed,us,us
2020-08-03T11:24:12.402Z,36.4069,70.8409,155.72,4.2,mb,,75,1.298,1.09,us,us6000b8p9,2020-08-04T05:42:09.748Z,"50 km S of Jurm, Afghanistan",earthquake,5.8,7.5,0.124,18,reviewed,us,us
2020-08-03T11:11:34.469Z,12.3543,-88.0828,35,4.3,mb,,172,1.091,0.89,us,us6000b8p5,2020-08-03T12:40:39.040Z,"81 km WSW of Jiquilillo, Nicaragua",earthquake,3,2,0.075,50,reviewed,us,us
2020-08-03T10:58:06.240Z,17.9678,-66.851,10,2.83,md,23,181,0.0291,0.13,pr,pr2020216003,2020-08-03T11:26:12.636Z,"4 km ESE of Maria Antonia, Puerto Rico",earthquake,0.34,0.32,0.22,8,reviewed,pr,pr
2020-08-03T09:05:57.340Z,40.2975,-124.5305,20.98,2.61,md,34,241,0.144,0.14,nc,nc73437591,2020-08-04T05:30:02.844Z,"21km W of Petrolia, CA",earthquake,0.52,0.24,0.173,53,reviewed,nc,nc
2020-08-03T08:31:10.285Z,17.068,147.329,10,5.6,mww,,45,2.343,0.7,us,us6000b8mj,2020-08-04T08:41:16.141Z,"265 km NE of Saipan, Northern Mariana Islands",earthquake,8.3,1.8,0.098,10,reviewed,us,us
2020-08-03T08:25:22.740Z,33.8725,-116.9986667,14.09,2.67,ml,143,21,0.05103,0.19,ci,ci39327959,2020-08-04T22:41:53.940Z,"7km SSW of Beaumont, CA",earthquake,0.1,0.22,0.258,24,reviewed,ci,ci
2020-08-03T06:46:55.233Z,18.0752,-102.7457,35,4.6,mb,,204,2.123,0.8,us,us6000b8lq,2020-08-03T12:08:21.158Z,"40 km W of El Habillal, Mexico",earthquake,3.4,2,0.026,443,reviewed,us,us
2020-08-03T04:53:58.369Z,26.3451,126.2733,10,4.6,mb,,74,1.855,0.86,us,us6000b8ks,2020-08-03T05:22:47.040Z,"141 km W of Naha, Japan",earthquake,8.2,1.9,0.087,39,reviewed,us,us
